sub,hr,congruent,rsi
280281,0.37037037037037035,1,1
280282,0.631578947368421,1,1
280283,0.28,1,1
280285,0.631578947368421,1,1
280286,0.5769230769230769,1,1
280288,0.6,1,1
280289,0.5925925925925926,1,1
280292,0.5789473684210527,1,1
280297,0.6363636363636364,1,1
280298,0.4166666666666667,1,1
280299,0.3333333333333333,1,1
280300,0.5789473684210527,1,1
280301,0.45,1,1
280302,0.3333333333333333,1,1
280303,0.42857142857142855,1,1
280304,0.48,1,1
280305,0.43478260869565216,1,1
280306,0.5238095238095238,1,1
280307,0.56,1,1
280308,0.45,1,1
280309,0.3181818181818182,1,1
280310,0.625,1,1
280311,0.2631578947368421,1,1
280312,0.4444444444444444,1,1
280313,0.5714285714285714,1,1
280314,0.1111111111111111,1,1
280315,0.35714285714285715,1,1
280316,0.5185185185185185,1,1
280317,0.34782608695652173,1,1
280318,0.4375,1,1
280320,0.45454545454545453,1,1
280321,0.5,1,1
280322,0.4,1,1
280325,0.38095238095238093,1,1
280326,0.5,1,1
280327,0.36363636363636365,1,1
280328,0.42105263157894735,1,1
280329,0.6086956521739131,1,1
280330,0.5384615384615384,1,1
280332,0.5652173913043478,1,1
280333,0.42857142857142855,1,1
280334,0.4230769230769231,1,1
280335,0.6956521739130435,1,1
280336,0.38461538461538464,1,1
280337,0.3181818181818182,1,1
280339,0.46153846153846156,1,1
280340,0.5,1,1
280342,0.3157894736842105,1,1
280343,0.47619047619047616,1,1
280344,0.4,1,1
280345,0.4375,1,1
280346,0.4,1,1
280347,0.5769230769230769,1,1
280349,0.5,1,1
280350,0.5,1,1
280351,0.28,1,1
280352,0.4,1,1
280353,0.4230769230769231,1,1
280354,0.4,1,1
280355,0.375,1,1
280356,0.4,1,1
280357,0.47058823529411764,1,1
280360,0.7727272727272727,1,1
280361,0.5925925925925926,1,1
280362,0.2692307692307692,1,1
280363,0.7142857142857143,1,1
280364,0.56,1,1
280365,0.125,1,1
280367,0.125,1,1
280368,0.5333333333333333,1,1
280369,0.5,1,1
280370,0.35,1,1
280371,0.5714285714285714,1,1
280372,0.47058823529411764,1,1
280373,0.391304347826087,1,1
280374,0.5294117647058824,1,1
280375,0.5,1,1
280376,0.5384615384615384,1,1
280377,0.52,1,1
280379,0.30434782608695654,1,1
280380,0.6086956521739131,1,1
280383,0.6666666666666666,1,1
280384,0.5384615384615384,1,1
280385,0.47058823529411764,1,1
280386,0.2916666666666667,1,1
280387,0.5238095238095238,1,1
280389,0.15789473684210525,1,1
280391,0.5,1,1
280392,0.4583333333333333,1,1
280395,0.4375,1,1
280396,0.3,1,1
280398,0.4230769230769231,1,1
280403,0.38095238095238093,1,1
280404,0.7407407407407407,1,1
280405,0.5263157894736842,1,1
280406,0.32142857142857145,1,1
280408,0.5833333333333334,1,1
280409,0.34782608695652173,1,1
