sub,rt,congruent,acc
280281,-0.819757174887154,congruent,correct
280282,-0.7770741688735201,congruent,correct
280283,-0.6324371594722171,congruent,correct
280284,-0.8577132705987492,congruent,correct
280285,-0.7590080662183886,congruent,correct
280286,-0.9612759398867736,congruent,correct
280288,-0.8058256538321508,congruent,correct
280289,-0.7253367155948157,congruent,correct
280292,-0.7754231171514221,congruent,correct
280297,-0.8568026345126697,congruent,correct
280298,-0.8908241495034496,congruent,correct
280299,-0.8470374159599957,congruent,correct
280300,-0.8591205898229967,congruent,correct
280301,-0.7050733557147503,congruent,correct
280302,-0.7137555537895394,congruent,correct
280303,-0.8452462814819129,congruent,correct
280304,-0.9689128521432079,congruent,correct
280305,-0.7109798469347689,congruent,correct
280306,-0.7666076209064384,congruent,correct
280307,-0.8047885208253189,congruent,correct
280308,-0.9295882185539442,congruent,correct
280309,-0.9081760996363115,congruent,correct
280310,-0.7496099168701609,congruent,correct
280311,-0.7825609656183387,congruent,correct
280312,-0.7861516603822576,congruent,correct
280313,-0.7327679889141365,congruent,correct
280314,-0.9248364422959213,congruent,correct
280315,-0.8960996883712934,congruent,correct
280316,-0.8853559829093558,congruent,correct
280317,-0.9255037920572688,congruent,correct
280318,-0.7383389118328394,congruent,correct
280320,-0.9683905090681237,congruent,correct
280321,-0.8053288361655061,congruent,correct
280322,-0.8961402404596752,congruent,correct
280325,-0.7807732544078142,congruent,correct
280326,-0.9104889933767423,congruent,correct
280327,-0.8294608653689883,congruent,correct
280328,-0.8471720441088126,congruent,correct
280329,-0.9263201391834145,congruent,correct
280330,-0.7814243245041843,congruent,correct
280332,-0.7361201834521856,congruent,correct
280333,-0.7450225963807183,congruent,correct
280334,-0.8667659449259423,congruent,correct
280335,-0.9062769116031211,congruent,correct
280336,-0.8767210478570459,congruent,correct
280337,-0.8723229562030678,congruent,correct
280339,-0.8999490987108231,congruent,correct
280340,-0.7567813139115016,congruent,correct
280342,-0.8072324996638698,congruent,correct
280343,-0.887669598669146,congruent,correct
280344,-0.750707043195428,congruent,correct
280345,-0.7268345082377865,congruent,correct
280346,-0.9401074006292042,congruent,correct
280347,-0.7428780012355783,congruent,correct
280349,-0.777808707924605,congruent,correct
280350,-0.7406571008701908,congruent,correct
280351,-0.8268696652063678,congruent,correct
280352,-0.9482207610973221,congruent,correct
280353,-0.9434850094527991,congruent,correct
280354,-0.833647238172673,congruent,correct
280355,-0.862222717631146,congruent,correct
280356,-0.7397449722219581,congruent,correct
280357,-0.839545087157778,congruent,correct
280360,-0.951201721106693,congruent,correct
280361,-0.8044700226349568,congruent,correct
280362,-0.7853348162301421,congruent,correct
280363,-0.7739437374419023,congruent,correct
280364,-0.7206223189361395,congruent,correct
280365,-0.848947171874283,congruent,correct
280367,-0.7175565961421129,congruent,correct
280368,-0.7638982618219134,congruent,correct
280369,-0.7295925048808458,congruent,correct
280370,-0.8068872732033592,congruent,correct
280371,-0.8456702040637565,congruent,correct
280372,-0.8919096300675076,congruent,correct
280373,-0.6905239657534875,congruent,correct
280374,-0.8775905804490134,congruent,correct
280375,-0.886979236554289,congruent,correct
280376,-0.8488888896542394,congruent,correct
280377,-0.9331687292122939,congruent,correct
280379,-0.8398685472346703,congruent,correct
280380,-0.8985351465523338,congruent,correct
280383,-0.790579727987322,congruent,correct
280384,-0.8127651180110218,congruent,correct
280385,-0.8603106622640332,congruent,correct
280386,-0.9207498844466033,congruent,correct
280387,-0.8110231765752491,congruent,correct
280389,-0.7759119286205073,congruent,correct
280391,-0.835824120233867,congruent,correct
280392,-0.8446749390496798,congruent,correct
280395,-0.746183142014825,congruent,correct
280396,-0.8432309515827184,congruent,correct
280398,-0.7471849915104325,congruent,correct
280403,-0.8032557967830964,congruent,correct
280404,-0.8040404912657596,congruent,correct
280405,-0.8317101984844966,congruent,correct
280406,-0.67384085595437,congruent,correct
280407,-0.7796733951792671,congruent,correct
280408,-0.9062943838341796,congruent,correct
280409,-0.9060119244606873,congruent,correct
280411,-0.7671235360916657,congruent,correct
280412,-0.7752759445685982,congruent,correct
